bpm,genre,title,artist
170,ORATORIO,Apocalypse ～dirge of swans～,Zektbach
132,CELTIC REEL,BALLAD THE FEATHERS,S.S.D.FANTASICA feat.Naomi Koizumi
170,HARD RENAISSANCE,Bloody Tears(IIDX EDITION),DJ YOSHITAKA
155,EUROBEAT,BOOM BOOM DISCO NIGHT,Y&Co.
140,TRANCE,Broadbanded,SADA
103-155,PROGRESSIVE,Concertino in Blue,佐々木博史
180,SUBLIME TECHNO,CONTRACT,朱雀
155,TECHNO,D.C.fish,DJ MURASAME
138,J-POP,Double♡♡Loving Heart,Tatsh feat. Junko Hirata ＆ Sayaka Minami
100-400,TECHNO,DUE TOMORROW,Mr.T
161,80´s TECHNO,EURO-ROMANCE,K-MASERA
72-82,ESOTERIC SLOWCORE,Ganymede,玄武
135,PROGRESSIVE HOUSE,Harmony and Lovely,Ryu☆
130,TRANCE,Heavenly Sun (IIDX VERSION),AKIRA YAMAOKA
135,BRAZILIAN HOUSE,INFERNO,Caldeira feat.星野奏子
145,SYMPHONIC EURO,Leaving...,SEIYA MURAI meets "eimy"
172,NEW ACOUSTIC,Melody Life,Noria
150,ELECTRONICA,MINT,SLAKE
156,哀愁ユーロ,MOON,dj TAKA feat.Erika Mochizuki
135,2 STEP,Power of Love,kors k feat.PSY
149,BUCHIAGE TRANCE,So Fabulous !!,HHH (Ryu☆ & Dai)
152,HAPPY POP,Sun Field,mh sequence
165,SADISTIC HARDCORE,The Dirty of Loudness,Tatsh Assault X
175,CORE POP,This is Love,D-crew feat.MAKOTO
182,FREEFORM,tripping contact,kors k vs teranoid
187,GABBA,tripping contact(teranoid&MC Natsack Remix),kors k vs teranoid
159,PSYCHEDELIC TRANCE,TYPE MARS(G-Style Mix),L.E.D.
191,DANCE SPEED,waxing and wanding,青龍
160,LOVERS EUROBEAT,Why did you go away,jun with TAHIRIH
155,EUROBEAT,WISH(EUROBEAT MIX),DJ YOSHITAKA feat.杉村ことみ
135,FUNK´N JAZZ HOUSE,with you…,Sota Fujimori
160,CYBER OPUS,Zenius -I- vanisher,Tatsh
140,和式電子音楽,カゴノトリ～弐式～,橙色特別室
199,ASIAN MIXTURE,華蝶風雪,白虎
180,POPROCK,タシカナモノ,星野奏子 with the BAND
160,CONTEMPORARY,嘆きの樹,金獅子
160,LOVELY TRANS POP,虹色,DJ YOSHITAKA feat. G.S.C license
180,DRUM´N´ROCK,罠,good-cool
171,FLOW POP,Air Bell,D-crew
152,PSYCHEDELIC SYNTH TRANCE,ANDROMEDA II,Sota Fujimori
184,HAPPY,Candy Galy,Risk Junk-G
180,NOSTALISH REQUIEM,CaptivAte～裁き～,DJ YOSHITAKA feat.A/I
160,NOSTALISH REQUIEM,CaptivAte～誓い～,A/I
170,DRAMATIC EURO TRANCE,CROSSROAD ～Left Story～,jun with TAHIRIH
146,CYBORG TRANCE,Cyber Force,Sota Fujimori feat.cyborg AKEMI
100-400,SuperNOVA BEAT,Fascination MAXX,100-200-400
150,BUCHIAGE TRANCE,FIRE FIRE,StripE
157,ROCK,four-leaf,Sis Bond Chit
162,RECKLESS RAVE,GOLD RUSH,DJ YOSHITAKA-G feat.Michael a la mode
160,ELECTRONICA,GRID KNIGHT,SAW WAVE SQUAD
132,FILTER HOUSE,heaven above,kors k
180,HIGH SPEED LOVE SONG,High School Love,DJ YOSHITAKA feat.DWP
146,MILLENNIUM TRANCE,INORI,dj TAKA feat.HAL
165,FREEFORM HARDCORE,KAMAITACHI,DJ TECHNORCH fw. GUHROOVY
152,NU-SKOOL BREAKS,LASER CRUSTER,L.E.D.
110,POPS,Love Again...,Tatsh feat. Junko Hirata
130,HOUSE,Make Me Your Own,good-cool ft. Raj Ramayya
150,OLDSKOOL HARDCORE RAVE,METALLIC MIND,DJ TECHNORCH fw. GUHROOVY
